ObjID,FORMAT,q,e,inc,node,argPeri,t_p_MJD_TDB,epochMJD_TDB
A_M_2.5999999999999996_1.0_0,COM,0.315574,1.000223,0.481,4.984,2.277,64444.482684877235,60980.00158187724
A_M_2.5999999999999996_1.0_1,COM,0.507586,1.0005,1.462,2.346,0.621,61064.58961787724,60980.00158187724
A_M_2.5999999999999996_1.0_2,COM,0.325346,1.000744,1.424,2.283,1.109,61923.29680987724,60980.00158187724
A_M_2.5999999999999996_1.0_3,COM,1.033008,1.01078,1.46,2.505,2.039,62432.432261877235,60980.00158187724
A_M_2.5999999999999996_1.0_4,COM,0.876319,1.009052,2.028,1.578,0.951,64471.983112877235,60980.00158187724
A_M_2.5999999999999996_1.0_5,COM,1.354742,1.007661,2.312,2.578,4.362,61292.420527877235,60980.00158187724
A_M_2.5999999999999996_1.0_6,COM,0.038426,1.000233,2.878,3.659,0.762,63766.87536287724,60980.00158187724
A_M_2.5999999999999996_1.0_7,COM,0.15361,1.002511,2.368,1.445,3.924,62686.14982487724,60980.00158187724
A_M_2.5999999999999996_1.0_8,COM,0.227383,1.003893,2.695,4.436,4.818,64372.45802087724,60980.00158187724
A_M_2.5999999999999996_1.0_9,COM,0.490156,1.007058,2.763,2.442,0.236,62892.40163987724,60980.00158187724
A_M_2.5999999999999996_1.0_10,COM,0.378168,1.004181,2.604,4.718,0.114,64048.12196887724,60980.00158187724
A_M_2.5999999999999996_1.0_11,COM,0.490156,1.007058,2.763,2.442,0.236,62892.40163987724,60980.00158187724
A_M_2.5999999999999996_1.0_12,COM,0.522833,1.008192,2.141,3.29,2.843,61456.856691877234,60980.00158187724
A_M_2.5999999999999996_1.0_13,COM,1.168004,1.028989,1.085,0.685,0.943,63268.917817877234,60980.00158187724
A_M_2.5999999999999996_1.0_14,COM,0.763479,1.018755,1.672,2.667,5.792,61597.919539877235,60980.00158187724
A_M_2.5999999999999996_1.0_15,COM,0.114066,1.002273,1.551,3.723,0.221,64264.12580787724,60980.00158187724
A_M_2.5999999999999996_1.0_16,COM,1.427897,1.033771,1.968,1.496,3.092,64099.69224087724,60980.00158187724
A_M_2.5999999999999996_1.0_17,COM,1.259878,1.034489,1.225,0.45,1.879,61474.914550877234,60980.00158187724
A_M_2.5999999999999996_1.0_18,COM,0.123778,1.00356,1.591,4.313,3.282,64351.30617787724,60980.00158187724
A_M_2.5999999999999996_1.0_19,COM,1.113355,1.023189,1.389,3.732,2.04,64640.57199387724,60980.00158187724
A_M_2.5999999999999996_1.0_20,COM,0.373353,1.009535,1.209,0.587,2.051,63546.37110887724,60980.00158187724
A_M_2.5999999999999996_1.0_21,COM,0.458224,1.011454,1.941,5.377,5.451,63827.437294877236,60980.00158187724
A_M_2.5999999999999996_1.0_22,COM,0.833141,1.03103,2.545,2.153,1.352,64530.03593487724,60980.00158187724
