ObjID,FORMAT,q,e,inc,node,argPeri,t_p_MJD_TDB,epochMJD_TDB
A_OB_3.3999999999999995_1.0_0,COM,0.155322,1.000015,1.49,5.297,3.79,62671.612977,60796.001439
A_OB_3.3999999999999995_1.0_1,COM,0.307637,1.000117,1.958,3.594,4.066,60910.073234,60796.001439
A_OB_3.3999999999999995_1.0_2,COM,0.497461,1.000027,0.843,5.716,4.678,61377.846451,60796.001439
A_OB_3.3999999999999995_1.0_3,COM,0.725105,1.000075,2.329,1.931,0.924,63858.735794,60796.001439
A_OB_3.3999999999999995_1.0_4,COM,0.040526,1.000054,1.543,2.31,3.421,63836.098943,60796.001439
A_OB_3.3999999999999995_1.0_5,COM,1.067548,1.00064,1.515,3.36,3.383,60968.516257,60796.001439
A_OB_3.3999999999999995_1.0_6,COM,0.577184,1.000677,1.936,4.152,5.021,61584.260589,60796.001439
A_OB_3.3999999999999995_1.0_7,COM,1.417086,1.000705,1.16,2.545,1.978,63664.721727,60796.001439
A_OB_3.3999999999999995_1.0_8,COM,1.285886,1.000689,2.067,5.669,1.068,62550.714909,60796.001439
A_OB_3.3999999999999995_1.0_9,COM,0.708615,1.000498,2.024,5.366,5.484,64210.232787,60796.001439
A_OB_3.3999999999999995_1.0_10,COM,0.403307,1.000525,1.705,3.42,2.061,63512.716417,60796.001439
A_OB_3.3999999999999995_1.0_11,COM,0.829129,1.000429,1.848,1.308,4.935,61864.745682,60796.001439
A_OB_3.3999999999999995_1.0_12,COM,0.027771,1.000012,1.326,5.685,2.953,62269.840042,60796.001439
A_OB_3.3999999999999995_1.0_13,COM,1.324533,1.000779,2.288,5.257,4.948,60937.59704,60796.001439
A_OB_3.3999999999999995_1.0_14,COM,0.577184,1.000677,1.936,4.152,5.021,61584.260589,60796.001439
A_OB_3.3999999999999995_1.0_15,COM,0.120756,1.000024,1.229,5.131,1.158,63683.154609,60796.001439
A_OB_3.3999999999999995_1.0_16,COM,1.171053,1.00153,2.4,1.968,2.01,61259.04003,60796.001439
A_OB_3.3999999999999995_1.0_17,COM,0.788069,1.000949,1.503,0.573,3.589,63500.969042,60796.001439
A_OB_3.3999999999999995_1.0_18,COM,1.106399,1.000591,1.497,4.433,0.919,61328.865416,60796.001439
A_OB_3.3999999999999995_1.0_19,COM,1.235583,1.000638,2.507,2.539,3.369,61040.636443,60796.001439
A_OB_3.3999999999999995_1.0_20,COM,1.270113,1.000929,0.926,3.944,4.594,64142.15011,60796.001439
A_OB_3.3999999999999995_1.0_21,COM,0.142866,1.000121,1.34,1.759,3.421,61881.367527,60796.001439
A_OB_3.3999999999999995_1.0_22,COM,1.106399,1.000591,1.497,4.433,0.919,61328.865416,60796.001439
A_OB_3.3999999999999995_1.0_23,COM,1.252606,1.000082,2.16,4.259,4.379,63558.58845,60796.001439
A_OB_3.3999999999999995_1.0_24,COM,1.403615,1.001752,1.505,0.703,3.877,64380.909733,60796.001439
A_OB_3.3999999999999995_1.0_25,COM,0.114878,1.0001,1.723,5.018,3.438,63498.679533,60796.001439
A_OB_3.3999999999999995_1.0_26,COM,1.354061,1.00151,0.672,5.394,5.658,62171.055278,60796.001439
A_OB_3.3999999999999995_1.0_27,COM,1.470688,1.000497,0.712,1.923,2.524,61454.001741,60796.001439
A_OB_3.3999999999999995_1.0_28,COM,0.487798,1.000042,2.628,4.528,1.972,63056.661591,60796.001439
A_OB_3.3999999999999995_1.0_29,COM,0.040526,1.000054,1.543,2.31,3.421,63836.098943,60796.001439
A_OB_3.3999999999999995_1.0_30,COM,0.653655,1.000879,3.007,3.899,6.253,64213.518302,60796.001439
A_OB_3.3999999999999995_1.0_31,COM,1.254455,1.000274,2.053,2.743,4.64,63962.249888,60796.001439
A_OB_3.3999999999999995_1.0_32,COM,1.407262,1.000163,1.569,4.625,1.161,62046.918254,60796.001439
A_OB_3.3999999999999995_1.0_33,COM,0.355605,1.000363,1.316,1.812,0.364,61976.035731,60796.001439
A_OB_3.3999999999999995_1.0_34,COM,0.137693,1.000223,2.026,0.229,3.053,62087.552908,60796.001439
A_OB_3.3999999999999995_1.0_35,COM,0.384559,1.001011,2.533,3.581,4.563,62581.555508,60796.001439
A_OB_3.3999999999999995_1.0_36,COM,0.000961,1.000004,0.325,1.488,1.148,61345.106705,60796.001439
A_OB_3.3999999999999995_1.0_37,COM,1.641498,1.006271,1.522,5.788,0.306,63106.588485,60796.001439
A_OB_3.3999999999999995_1.0_38,COM,1.404699,1.002953,1.559,4.726,5.859,64193.864607,60796.001439
A_OB_3.3999999999999995_1.0_39,COM,1.078437,1.002634,0.612,1.712,1.316,63442.394195,60796.001439
A_OB_3.3999999999999995_1.0_40,COM,1.063711,1.004278,1.741,0.628,3.606,63298.319154,60796.001439
A_OB_3.3999999999999995_1.0_41,COM,1.174502,1.002476,1.255,3.458,0.042,63548.54192,60796.001439
A_OB_3.3999999999999995_1.0_42,COM,1.395609,1.0051,1.458,6.16,0.078,61282.447025,60796.001439
A_OB_3.3999999999999995_1.0_43,COM,1.170783,1.004406,1.535,4.211,2.296,63470.795159,60796.001439
A_OB_3.3999999999999995_1.0_44,COM,0.361548,1.00128,0.201,3.859,2.971,63506.748019,60796.001439
A_OB_3.3999999999999995_1.0_45,COM,0.822812,1.002068,1.204,5.279,3.584,63930.761432,60796.001439
A_OB_3.3999999999999995_1.0_46,COM,1.351137,1.002412,0.749,3.146,6.042,63782.635704,60796.001439
A_OB_3.3999999999999995_1.0_47,COM,0.861664,1.004243,0.775,1.55,3.107,63292.901196,60796.001439
A_OB_3.3999999999999995_1.0_48,COM,1.286072,1.005296,0.917,6.235,2.275,62288.018937,60796.001439
A_OB_3.3999999999999995_1.0_49,COM,0.137693,1.000223,2.026,0.229,3.053,62087.552908,60796.001439
A_OB_3.3999999999999995_1.0_50,COM,0.251463,1.000807,1.505,2.596,5.956,61576.041286,60796.001439
A_OB_3.3999999999999995_1.0_51,COM,1.268541,1.001958,1.77,4.358,4.808,63372.034103,60796.001439
A_OB_3.3999999999999995_1.0_52,COM,0.526537,1.002248,1.929,2.747,4.687,63105.535202,60796.001439
A_OB_3.3999999999999995_1.0_53,COM,1.350149,1.003163,1.432,5.178,0.574,61385.986054,60796.001439
A_OB_3.3999999999999995_1.0_54,COM,1.432964,1.004259,2.161,0.319,3.218,62875.194266,60796.001439
A_OB_3.3999999999999995_1.0_55,COM,1.08574,1.005238,1.53,1.125,0.616,61860.807257,60796.001439
A_OB_3.3999999999999995_1.0_56,COM,0.909077,1.002386,0.89,0.591,0.909,63761.587199,60796.001439
A_OB_3.3999999999999995_1.0_57,COM,0.599591,1.001506,1.68,5.384,4.1,60877.581396,60796.001439
A_OB_3.3999999999999995_1.0_58,COM,0.764522,1.001263,0.657,0.009,1.679,62706.007163,60796.001439
A_OB_3.3999999999999995_1.0_59,COM,0.873698,1.00119,1.955,4.059,5.378,61444.792924,60796.001439
