ObjID,FieldID,fieldMJD_TAI,fieldJD_TDB,Range_LTC_km,RangeRate_LTC_km_s,RATrue_deg,RARateCosDec_deg_day,DecTrue_deg,DecRate_deg_day,Obj_Sun_x_LTC_km,Obj_Sun_y_LTC_km,Obj_Sun_z_LTC_km,Obj_Sun_vx_LTC_km_s,Obj_Sun_vy_LTC_km_s,Obj_Sun_vz_LTC_km_s,Obs_Sun_x_km,Obs_Sun_y_km,Obs_Sun_z_km,Obs_Sun_vx_km_s,Obs_Sun_vy_km_s,Obs_Sun_vz_km_s,phase_deg,FORMAT,q,e,inc,node,argPeri,t_p_MJD_TDB,epochMJD_TDB,H_filter,GS,visitTime,visitExposureTime,optFilter,seeingFwhmGeom_arcsec,seeingFwhmEff_arcsec,fieldFiveSigmaDepth_mag,fieldRA_deg,fieldDec_deg,fieldRotSkyPos_deg,H_r,trailedSourceMagTrue,PSFMagTrue,fiveSigmaDepth_mag,astrometricSigma_deg,trailedSourceMagSigma,SNR,PSFMagSigma,trailedSourceMag,PSFMag,RA_deg,Dec_deg,object_linked,date_linked_MJD,Obj_Sun_LTC_km
A_M_2.1999999999999997_1.0_296,6591,61000.14530298973,2461000.6456749868,165932718.01725397,24.85820389715998,35.14839063998486,0.2666932076418247,15.258492007257637,0.0997877174429416,207655842.06902945,208048308.077188,93900251.46313962,-12.476542332587268,35.00788287671524,15.880922810670446,76761514.17374362,115888979.65196298,50231040.139296725,-26.21761350609689,14.396681598785865,6.110959463039075,9.80932644601239,COM,1.697826,2.480098,0.937,5.43,1.016,60943.382795,60796.001439,21.0,0.15,33.6,29.2,g,0.8625721253042348,0.986097476039215,24.49379633147124,34.50830441690131,16.353776697870295,44.98499236120704,20.27,23.44838862495538,23.44838862495538,24.47073985851169,1.1763122938771636e-05,0.083066143053489,12.577117902948933,0.083066143053489,23.407612453902235,23.407612453902235,35.148398366904814,15.25850515755071,True,61007.0,308581114.8855663
A_M_2.1999999999999997_1.0_296,6642,61000.16992473803,2461000.670296987,165985671.62446296,24.92764588933321,35.15520034127272,0.2669912529712573,15.260942521754435,0.099265573173335,207629300.2909657,208122773.46622756,93934031.83403434,-12.478537073701832,35.0058841314517,15.880020690914922,76705685.8380155,115919549.02843475,50244035.65100278,-26.267726079987312,14.341715272112204,6.106648797426701,9.816164383272682,COM,1.697826,2.480098,0.937,5.43,1.016,60943.382795,60796.001439,20.27,0.15,33.6,29.2,r,0.9582913814594727,1.1025442596830568,23.948387314414475,34.50830441690131,16.353776697870295,44.98499236120704,20.27,22.719644597374447,22.719644597374447,23.925232568511195,1.1139365660020524e-05,0.07096229660921992,14.805630304734654,0.07096229660921992,22.80033039541537,22.80033039541537,35.15519881459545,15.260950948866867,True,61007.0,308623747.4841949
A_M_2.1999999999999997_1.0_296,9438,61006.11880800512,2461006.6191809885,179391224.18903193,27.337438171713632,36.8391361982244,0.2563613136611231,15.830882725594233,0.0917904701395205,201097567.17512357,225990249.80118507,102039684.39288804,-12.929748553171212,34.52717938425785,15.663915337734114,62972302.10699768,122512126.0479926,53101965.0915304,-27.680235093839,11.864782466848746,5.005075261302068,11.3309568115216,COM,1.697826,2.480098,0.937,5.43,1.016,60943.382795,60796.001439,20.27,0.15,33.6,29.2,r,0.8423078679361284,0.9614450948128084,23.985937216428447,35.63397333052104,14.864377118459704,105.25805933208426,20.27,23.018534917095913,23.018534917095913,23.93423137020755,1.2588736224257679e-05,0.09103610671823358,11.433421409527401,0.09103610671823358,22.963121898427612,22.963121898427612,36.8391262034736,15.830890647340963,True,61007.0,319255261.0685618
A_M_2.1999999999999997_1.0_296,9439,61006.119254460114,2461006.619626988,179392277.59446895,27.33870885595181,36.83925504295352,0.2563613410105288,15.830923662085985,0.0917813727659977,201097068.980166,225991580.16234443,102040287.93667652,-12.929780159704512,34.52714387091461,15.663899302486618,62971235.44742748,122512583.23279443,53102157.95737116,-27.681226292289427,11.863892664159874,5.004992771569343,11.331069792635596,COM,1.697826,2.480098,0.937,5.43,1.016,60943.382795,60796.001439,20.27,0.15,33.6,29.2,r,0.8648692455359265,0.988892026199424,23.938519185259416,37.33645890765246,17.476091816873787,106.77075155772982,20.27,23.01855737733409,23.01855737733409,23.848665032522355,1.389280745429157e-05,0.09797462012097166,10.589329623679035,0.09797462012097166,23.151635480126636,23.151635480126636,36.83929103368558,15.830922114751711,True,61007.0,319256081.88237673
A_M_2.1999999999999997_1.0_296,9966,61008.21384436447,2461008.714216989,184417877.35695225,28.42885805393804,37.41752030833332,0.2558822211589042,16.020652068647934,0.0876268445840872,198744131.9815693,232224421.7608444,104867967.69252852,-13.074708075438751,34.36110486574506,15.588923291337672,57962692.971827164,124520654.7793566,53971617.16336477,-28.26686544482757,10.732048133856525,4.604295595874517,11.830892558478512,COM,1.697826,2.480098,0.937,5.43,1.016,60943.382795,60796.001439,20.27,0.15,33.6,29.2,r,0.9050673609479998,1.0377948430024329,23.66650449507203,36.905285976657964,15.82955582928371,110.96559829956443,20.27,23.122996742296504,23.122996742296504,23.66650449507203,1.864360815617467e-05,0.12519045145137123,8.182282442201853,0.12519045145137123,23.198913434489672,23.198913434489672,37.417494585785334,16.02067595392243,True,61007.0,323148112.64685917
A_M_2.1999999999999997_1.0_296,10017,61008.23789509277,2461008.738267989,184477006.97222543,28.48285307646184,37.423935926619166,0.2569272017946909,16.022755081018225,0.0872601652014495,198716963.54371047,232295815.60777852,104900357.60988528,-13.07633196662774,34.35920732987726,15.588066391273756,57903934.89834901,124542883.25409448,53981180.13878405,-28.283977257334826,10.661681936956354,4.599690875370685,11.836711189379056,COM,1.697826,2.480098,0.937,5.43,1.016,60943.382795,60796.001439,21.0,0.15,33.6,29.2,g,1.147264639121777,1.3324387337247894,23.942658147019223,36.905285976657964,15.82955582928371,110.96559829956443,20.27,23.854205683318284,23.854205683318284,23.942658147019223,3.5396724333191874e-05,0.1838816422666359,5.418645024207131,0.1838816422666359,23.643119475649065,23.643119475649065,37.424028955615995,16.022805104440398,True,61007.0,323193227.923478
A_M_2.1999999999999997_1.0_398,127265,61229.33898669997,2461229.839358999,1409233036.7592406,-40.011735108636174,307.7811469185019,-0.0283566008179712,-19.5858200146462,-0.0067131675369705,854905174.7078212,-1183602229.4904034,-530598391.8997236,-1.5318587467602172,33.06857173097375,14.794095910854193,41496518.88516805,-134249315.93613502,-58197531.03934804,28.337559817311085,7.715329946769399,3.182522586340635,1.866683936967969,COM,5.005026,7.456221,0.664,6.152,2.875,61667.215644,60796.001439,14.01,0.15,33.6,29.2,i,1.1302103138122328,1.3116913793336165,23.359048762640473,308.4296872982164,-19.79700502088228,53.836154458289094,14.34,24.172545268698677,24.172545268698677,23.359015310564292,7.922013430603265e-05,0.380950975666385,2.3792473011011466,0.380950975666385,23.375217697232923,23.375217697232923,307.7810651966696,-19.585843504180446,True,61615.0,1553483745.9347415
A_M_2.1999999999999997_1.0_398,135213,61239.30801857203,2461239.808390996,1376654838.1382053,-35.218272505544384,307.4610728346554,-0.0341703959632335,-19.661652358186178,-0.0079066965997638,853574200.1478087,-1155100211.5305674,-517847249.78421694,-1.5585108544092314,33.105093610321234,14.810468399763252,65080747.29506661,-126068703.2941986,-54650991.990100645,26.607756796693835,11.9734975695058,5.031871574125834,0.953850803191852,COM,5.005026,7.456221,0.664,6.152,2.875,61667.215644,60796.001439,14.34,0.15,33.6,29.2,r,1.063924096283536,1.2310512120237664,23.943156635683117,306.32946767520275,-20.695296862726142,21.849386615076494,14.34,24.322038823888583,24.322038823888583,23.89693841120885,5.2321060711067164e-05,0.2803796716973334,3.393874526810401,0.2803796716973334,24.045382555533195,24.045382555533195,307.4610878370876,-19.66166202039689,True,61615.0,1526764941.9426062
A_M_2.1999999999999997_1.0_398,143488,61271.19110408677,2461271.6914769867,1300805686.392627,-19.67158528199603,306.288214227301,-0.0321818744683857,-19.919331355141047,-0.0064819550247029,849153220.30621,-1063729206.5575858,-476969771.07631534,-1.6536107867979946,33.22893207162136,14.865992071533132,125334114.64194895,-77943961.26044624,-33789462.19375517,16.45321590317896,22.85908263058228,9.765588750836557,2.260372179955875,COM,5.005026,7.456221,0.664,6.152,2.875,61667.215644,60796.001439,14.34,0.15,33.6,29.2,r,0.6334107418530474,0.7073123380207389,24.57622114809068,305.7071632020658,-20.23612416348824,105.98902833370562,14.34,24.202203199685798,24.202203199685798,24.57622114809068,1.5291995086109666e-05,0.14458725869897845,7.020305004857632,0.14458725869897845,24.09549005866789,24.09549005866789,306.2882409821351,-19.919329987909205,True,61615.0,1442248653.6518695
A_M_2.1999999999999997_1.0_398,160417,61294.14405855719,2461294.6444309824,1271343647.8549335,-10.15179808968075,305.77899557249793,-0.0096407376689224,-20.010745184280022,-0.000484738023763,845796888.294027,-997734124.81148,-447444729.8810304,-1.7327282151225687,33.325093398247056,14.909113442537876,147367141.74041787,-28588741.42888415,-12395553.421228498,5.878393110110362,26.999705921280423,11.552319578621876,4.398518118139471,COM,5.005026,7.456221,0.664,6.152,2.875,61667.215644,60796.001439,14.34,0.15,33.6,29.2,r,0.7499211755178928,0.8490525249609402,24.379578122049974,306.52404380994665,-20.217126580139052,51.45923592255424,14.34,24.213746272114903,24.213746272114903,24.378703622262666,2.169647528758642e-05,0.172468608140923,5.808500441552601,0.172468608140923,24.19057355348567,24.19057355348567,305.7790082943147,-20.01075329003549,True,61615.0,1382408241.5695796
