"Bau12","2012ApJ...747...49B","Bauer, J. M., A.K. Mainzer, T. Grav, R.G. Walker, J.R. Masiero, and 20 others, WISE/NEOWISE Observations of Active Bodies in the Main Belt, Astroph. J. 747, 49, doi:10.1088/0004-637X/747/1/49, 2012.                                              "
"Bau13","2013ApJ...773...22B","Bauer, J.M., T. Grav, E. Blauvelt, A.K. Mainzer, J.R. Masiero, and 20 others, Centaurs and Scattered Disk Objects in the Thermal Infrared: Analysis of WISE/NEOWISE Observations, Astroph. J. 773, 22, doi:10.1088/0004-637X/773/1/22, 2013.        "
"BenPC","                n/a","Benner, L., private communication, 2010.                                                                                                                                                                                                            "
"Bus06","2006Icar..181..145B","Busch, M.W., S.J. Ostro, L.A.M. Benner, J.D. Giorgini, R.F. Jurgens, and 5 others, Radar and optical observations and physical modeling of near-Earth Asteroid 10115 (1992 SK), Icarus, 181, 145, doi:10.1016/j.icarus.2005.10.024, 2006.           "
"Bus11","2011Icar..212..649B","Busch, M.W., S.J. Ostro, L.A.M. Benner, M. Brozovic, J.D. Giorgini, and 8 others, Radar observations and the shape of near-Earth ASTEROID 2008 EV5, Icarus, 212, 649, doi:10.1016/j.icarus.2011.01.013, 2011.                                       "
"Dur11","2011Icar..214..652D","Durech, J., M. Kaasalainen, D. Herald, D. Dunham, B. Timerson, and 7 others, Combining asteroid models derived by lightcurve inversion with asteroidal occultation silhouettes, Icarus, 214, 652, doi:10.1016/j.icarus.2011.03.016, 2011.           "
"Gra11","2011ApJ...742...40G","T. Grav, A.K. Mainzer, J. Bauer, J. Masiero, T. Spahr, and 12 others, WISE/NEOWISE Observations of the Jovian Trojans: Preliminary Results, Astroph. J. 742, 40, doi:10.1088/0004-637X/742/1/40, 2011.                                              "
"Gr12a","2012ApJ...744..197G","Grav, T., A.K. Mainzer, J. Bauer, J. Masiero, T. Spahr, and 12 others, WISE/NEOWISE Observations of the Hilda Population: Preliminary Results, Astroph. J. 744, 197, doi:10.1088/0004-637X/744/2/197, 2012.                                         "
"Gr12b","2012ApJ...759...49G","Grav, T., A.K. Mainzer, J.M. Bauer, J.R. Masiero, C.R. Nugent, WISE/NEOWISE Observations of the Jovian Trojan Population: Taxonomy, Astroph. J. 759, 49, doi:10.1088/0004-637X/759/1/49, 2012.                                                      "
"Gra15","2015ApJ...809....3G","Grav, T., J.M. Bauer, A.K. Mainzer, J.R. Masiero, C.R. Nugent, and 3 others, NEOWISE: Observations of the Irregular Satellites of Jupiter and Saturn, Astroph. J. 809, 3, doi:10.1088/0004-637X/809/1/3, 2015.                                      "
"Kel10","2010Sci...327..190K","Keller, H.U., C. Barbieri, D. Koschny, P. Lamy, H. Rickman, and 42 others, E-Type Asteroid (2867) Steins as Imaged by OSIRIS on Board Rosetta, Science, 327, 190, doi:10.1126/science.1179559, 2010.                                                "
"Mag99","1999Icar..140..379M","Magri, C., S.J. Ostro, K.D. Rosema, M.L. Thomas, D.L. Mitchell, and 5 others, Mainbelt Asteroids: Results of Arecibo and Goldstone Radar Observations of 37 Objects during 1980-1995, Icarus, 140, 379, doi:10.1006/icar.1999.6130, 1999.           "
"Mag07","2007Icar..186..126M","Magri, C., M.C. Nolan, S.J. Ostro, J.D. Giorgini, A radar survey of main-belt asteroids: Arecibo observations of 55 objects during 1999 2003, Icarus, 186, 126, doi:10.1016/j.icarus.2006.08.018, 2007.                                             "
"Mai11","2011ApJ...743..156M","Mainzer, A., T. Grav, J. Bauer, J. Masiero, R.S. McMillan, and 32 others, NEOWISE Observations of Near-Earth Objects: Preliminary Results, Astroph. J. 743, 156, doi:10.1088/0004-637X/743/2/156, 2011.                                             "
"Mai12","2012ApJ...760L..12M","Mainzer, A., T. Grav, J. Masiero, J. Bauer, R.M. Cutri, and 5 others, Physical Parameters of Asteroids Estimated from the WISE 3-Band Data and NEOWISE Post-Cryogenic Survey, Astroph. J. 760, L12, doi:10.1088/2041-8205/760/1/L12, 2012.          "
"Mai14","2014ApJ...784..110M","Mainzer, A., J. Bauer, T. Grav, J. Masiero, R.M. Cutri, and 6 others, The Population of Tiny Near-Earth Objects Observed by NEOWISE, Astroph. J. 784, 110, doi:10.1088/0004-637X/784/2/110, 2014.                                                   "
"Mas11","2011ApJ...741...68M","Masiero, J.R., A.K. Mainzer, T. Grav, J.M. Bauer, R.M. Cutri, and 13 others, Main Belt Asteroids with WISE/NEOWISE. I. Preliminary Albedos and Diameters, Astroph. J. 741, 68, doi:10.1088/0004-637X/741/2/68, 2011.                                "
"Mas12","2012ApJ...759L...8M","Masiero, J.R., A.K. Mainzer, T. Grav, J.M. Bauer, R.M. Cutri, and 2 others, Preliminary Analysis of WISE/NEOWISE 3-Band Cryogenic and Post-cryogenic Observations of Main Belt Asteroids, Astroph. J. 759, L8, doi:10.1088/2041-8205/759/1/L8, 2012."
"Mas14","2014ApJ...791..121M","Masiero, J.R., T. Grav, A.K. Mainzer, C.R. Nugent, J.M. Bauer, and 2 others, Main-belt Asteroids with WISE/NEOWISE: Near-infrared Albedos, Astroph. J. 791, 121, doi:10.1088/0004-637X/791/2/121, 2014.                                             "
"Mas17","2017AJ....154..168M","Masiero, J.R., C. Nugent, A.K. Mainzer, E.L. Wright, J.M. Bauer, and 4 others, NEOWISE Reactivation Mission Year Three: Asteroid Diameters and Albedos, Astron. J. 154, 168, doi:10.3847/1538-3881/aa89ec, 2017.                                    "
"Mas18","2017AJ....154..168M","Masiero, J.R., E. Redwing, A.K. Mainzer, J.M. Bauer, R.M. Cutri, and 5 others, Small and Nearby NEOs Observed by NEOWISE During the First Three Years of Survey: Physical Properties, Astron. J. 156, 60, doi:10.3847/1538-3881/aa89ec, 2018.       "
